part,prov,sow,demand
101013,NL,2025-02-10,2.0
101013,NL,2025-02-17,0.0
101013,NL,2025-02-24,0.0
101013,NL,2025-03-03,0.0
101013,NL,2025-03-10,0.0
101013,NL,2025-03-17,0.0
101013,NL,2025-03-24,0.0
101013,NL,2025-03-31,0.0
101013,NL,2025-04-07,0.0
101013,NL,2025-04-14,0.0
101013,NL,2025-04-21,0.0
101013,NL,2025-04-28,0.0
101013,NL,2025-05-05,0.0
101013,NL,2025-05-12,0.0
101013,NL,2025-05-19,0.0
101013,NL,2025-05-26,0.0
101013,NL,2025-06-02,0.0
101109,AB,2024-06-10,384.0
101109,AB,2024-06-17,480.0
101109,AB,2024-06-24,72.0
101109,AB,2024-07-01,96.0
101109,AB,2024-07-08,168.0
101109,AB,2024-07-15,72.0
101109,AB,2024-07-22,96.0
101109,AB,2024-07-29,216.0
101109,AB,2024-08-05,216.0
101109,AB,2024-08-12,0.0
101109,AB,2024-08-19,408.0
101109,AB,2024-08-26,120.0
101109,AB,2024-09-02,96.0
101109,AB,2024-09-09,96.0
101109,AB,2024-09-16,264.0
101109,AB,2024-09-23,96.0
101109,AB,2024-09-30,96.0
101109,AB,2024-10-07,96.0
101109,AB,2024-10-14,312.0
101109,AB,2024-10-21,96.0
101109,AB,2024-10-28,144.0
101109,AB,2024-11-04,168.0
101109,AB,2024-11-11,192.0
101109,AB,2024-11-18,168.0
101109,AB,2024-11-25,192.0
101109,AB,2024-12-02,144.0
101109,AB,2024-12-09,192.0
101109,AB,2024-12-16,144.0
101109,AB,2024-12-23,96.0
101109,AB,2024-12-30,120.0
101109,AB,2025-01-06,192.0
101109,AB,2025-01-13,240.0
101109,AB,2025-01-20,168.0
101109,AB,2025-01-27,144.0
101109,AB,2025-02-03,216.0
101109,AB,2025-02-10,72.0
101109,AB,2025-02-17,168.0
101109,AB,2025-02-24,96.0
101109,AB,2025-03-03,72.0
101109,AB,2025-03-10,120.0
101109,AB,2025-03-17,48.0
101109,AB,2025-03-24,240.0
101109,AB,2025-03-31,96.0
101109,AB,2025-04-07,0.0
101109,AB,2025-04-14,96.0
101109,AB,2025-04-21,96.0
101109,AB,2025-04-28,120.0
101109,AB,2025-05-05,72.0
101109,AB,2025-05-12,48.0
101109,AB,2025-05-19,48.0
101109,AB,2025-05-26,264.0
101109,AB,2025-06-02,144.0
101109,NB,2024-06-10,5.0
101109,NB,2024-06-17,3.0
101109,NB,2024-06-24,0.0
101109,NB,2024-07-01,0.0
101109,NB,2024-07-08,0.0
101109,NB,2024-07-15,0.0
101109,NB,2024-07-22,0.0
101109,NB,2024-07-29,0.0
101109,NB,2024-08-05,0.0
101109,NB,2024-08-12,0.0
101109,NB,2024-08-19,0.0
101109,NB,2024-08-26,0.0
101109,NB,2024-09-02,0.0
101109,NB,2024-09-09,0.0
101109,NB,2024-09-16,0.0
101109,NB,2024-09-23,0.0
101109,NB,2024-09-30,0.0
101109,NB,2024-10-07,0.0
101109,NB,2024-10-14,0.0
101109,NB,2024-10-21,0.0
101109,NB,2024-10-28,0.0
101109,NB,2024-11-04,0.0
101109,NB,2024-11-11,0.0
101109,NB,2024-11-18,0.0
101109,NB,2024-11-25,0.0
101109,NB,2024-12-02,0.0
101109,NB,2024-12-09,0.0
101109,NB,2024-12-16,0.0
101109,NB,2024-12-23,0.0
101109,NB,2024-12-30,0.0
101109,NB,2025-01-06,0.0
101109,NB,2025-01-13,0.0
101109,NB,2025-01-20,0.0
101109,NB,2025-01-27,0.0
101109,NB,2025-02-03,0.0
101109,NB,2025-02-10,0.0
101109,NB,2025-02-17,0.0
101109,NB,2025-02-24,0.0
101109,NB,2025-03-03,0.0
101109,NB,2025-03-10,0.0
101109,NB,2025-03-17,0.0
101109,NB,2025-03-24,0.0
101109,NB,2025-03-31,0.0
101109,NB,2025-04-07,54.0
101109,NB,2025-04-14,35.0
101109,NB,2025-04-21,41.0
101109,NB,2025-04-28,34.0
101109,NB,2025-05-05,53.0
101109,NB,2025-05-12,47.0
101109,NB,2025-05-19,42.0
101109,NB,2025-05-26,35.0
101109,NB,2025-06-02,39.0
101109,NL,2024-06-10,221.0
101109,NL,2024-06-17,102.0
101109,NL,2024-06-24,544.0
101109,NL,2024-07-01,98.0
101109,NL,2024-07-08,192.0
101109,NL,2024-07-15,172.0
101109,NL,2024-07-22,58.0
101109,NL,2024-07-29,72.0
101109,NL,2024-08-05,49.0
101109,NL,2024-08-12,223.0
101109,NL,2024-08-19,176.0
101109,NL,2024-08-26,127.0
101109,NL,2024-09-02,101.0
101109,NL,2024-09-09,219.0
101109,NL,2024-09-16,104.0
101109,NL,2024-09-23,100.0
101109,NL,2024-09-30,222.0
101109,NL,2024-10-07,29.0
101109,NL,2024-10-14,250.0
101109,NL,2024-10-21,73.0
101109,NL,2024-10-28,77.0
101109,NL,2024-11-04,265.0
101109,NL,2024-11-11,144.0
101109,NL,2024-11-18,168.0
101109,NL,2024-11-25,96.0
101109,NL,2024-12-02,144.0
101109,NL,2024-12-09,216.0
101109,NL,2024-12-16,274.0
101109,NL,2024-12-23,0.0
101109,NL,2024-12-30,245.0
101109,NL,2025-01-06,194.0
101109,NL,2025-01-13,173.0
101109,NL,2025-01-20,52.0
101109,NL,2025-01-27,244.0
101109,NL,2025-02-03,248.0
101109,NL,2025-02-10,195.0
101109,NL,2025-02-17,149.0
101109,NL,2025-02-24,125.0
101109,NL,2025-03-03,218.0
101109,NL,2025-03-10,80.0
101109,NL,2025-03-17,433.0
101109,NL,2025-03-24,196.0
101109,NL,2025-03-31,96.0
101109,NL,2025-04-07,128.0
101109,NL,2025-04-14,147.0
101109,NL,2025-04-21,121.0
101109,NL,2025-04-28,223.0
101109,NL,2025-05-05,337.0
101109,NL,2025-05-12,192.0
101109,NL,2025-05-19,78.0
101109,NL,2025-05-26,216.0
101109,NL,2025-06-02,0.0
101109,QC,2024-07-01,981.0
101109,QC,2024-07-08,873.0
101109,QC,2024-07-15,0.0
101109,QC,2024-07-22,0.0
101109,QC,2024-07-29,0.0
101109,QC,2024-08-05,0.0
101109,QC,2024-08-12,0.0
101109,QC,2024-08-19,0.0
101109,QC,2024-08-26,0.0
101109,QC,2024-09-02,0.0
101109,QC,2024-09-09,0.0
101109,QC,2024-09-16,0.0
101109,QC,2024-09-23,0.0
101109,QC,2024-09-30,0.0
101109,QC,2024-10-07,0.0
101109,QC,2024-10-14,0.0
101109,QC,2024-10-21,0.0
101109,QC,2024-10-28,982.0
101109,QC,2024-11-04,0.0
101109,QC,2024-11-11,0.0
101109,QC,2024-11-18,0.0
101109,QC,2024-11-25,0.0
101109,QC,2024-12-02,0.0
101109,QC,2024-12-09,988.0
101109,QC,2024-12-16,0.0
101109,QC,2024-12-23,0.0
101109,QC,2024-12-30,0.0
101109,QC,2025-01-06,0.0
101109,QC,2025-01-13,0.0
101109,QC,2025-01-20,0.0
101109,QC,2025-01-27,0.0
101109,QC,2025-02-03,0.0
101109,QC,2025-02-10,878.0
101109,QC,2025-02-17,956.0
101109,QC,2025-02-24,0.0
101109,QC,2025-03-03,0.0
101109,QC,2025-03-10,0.0
101109,QC,2025-03-17,0.0
101109,QC,2025-03-24,0.0
101109,QC,2025-03-31,0.0
101109,QC,2025-04-07,0.0
101109,QC,2025-04-14,0.0
101109,QC,2025-04-21,0.0
101109,QC,2025-04-28,0.0
101109,QC,2025-05-05,0.0
101109,QC,2025-05-12,0.0
101109,QC,2025-05-19,0.0
101109,QC,2025-05-26,0.0
101109,QC,2025-06-02,0.0
101119,NB,2024-06-10,23.0
101119,NB,2024-06-17,15.0
101119,NB,2024-06-24,28.0
101119,NB,2024-07-01,6.0
101119,NB,2024-07-08,10.0
101119,NB,2024-07-15,32.0
101119,NB,2024-07-22,26.0
101119,NB,2024-07-29,26.0
101119,NB,2024-08-05,2.0
101119,NB,2024-08-12,0.0
101119,NB,2024-08-19,10.0
101119,NB,2024-08-26,60.0
101119,NB,2024-09-02,40.0
101119,NB,2024-09-09,37.0
101119,NB,2024-09-16,43.0
101119,NB,2024-09-23,37.0
101119,NB,2024-09-30,42.0
101119,NB,2024-10-07,42.0
101119,NB,2024-10-14,41.0
101119,NB,2024-10-21,45.0
101119,NB,2024-10-28,64.0
101119,NB,2024-11-04,58.0
101119,NB,2024-11-11,29.0
101119,NB,2024-11-18,18.0
101119,NB,2024-11-25,22.0
101119,NB,2024-12-02,29.0
101119,NB,2024-12-09,26.0
101119,NB,2024-12-16,41.0
101119,NB,2024-12-23,41.0
101119,NB,2024-12-30,50.0
101119,NB,2025-01-06,16.0
101119,NB,2025-01-13,30.0
101119,NB,2025-01-20,80.0
101119,NB,2025-01-27,21.0
101119,NB,2025-02-03,9.0
101119,NB,2025-02-10,7.0
101119,NB,2025-02-17,31.0
101119,NB,2025-02-24,7.0
101119,NB,2025-03-03,7.0
101119,NB,2025-03-10,36.0
101119,NB,2025-03-17,24.0
101119,NB,2025-03-24,48.0
101119,NB,2025-03-31,9.0
101119,NB,2025-04-07,36.0
101119,NB,2025-04-14,8.0
101119,NB,2025-04-21,28.0
101119,NB,2025-04-28,24.0
101119,NB,2025-05-05,1.0
101119,NB,2025-05-12,2.0
101119,NB,2025-05-19,5.0
101119,NB,2025-05-26,12.0
101119,NB,2025-06-02,7.0
101119,NL,2024-06-10,52.0
101119,NL,2024-06-17,96.0
101119,NL,2024-06-24,536.0
101119,NL,2024-07-01,120.0
101119,NL,2024-07-08,121.0
101119,NL,2024-07-15,25.0
101119,NL,2024-07-22,150.0
101119,NL,2024-07-29,73.0
101119,NL,2024-08-05,49.0
101119,NL,2024-08-12,76.0
101119,NL,2024-08-19,288.0
101119,NL,2024-08-26,77.0
101119,NL,2024-09-02,73.0
101119,NL,2024-09-09,73.0
101119,NL,2024-09-16,77.0
101119,NL,2024-09-23,48.0
101119,NL,2024-09-30,51.0
101119,NL,2024-10-07,171.0
101119,NL,2024-10-14,241.0
101119,NL,2024-10-21,98.0
101119,NL,2024-10-28,28.0
101119,NL,2024-11-04,121.0
101119,NL,2024-11-11,192.0
101119,NL,2024-11-18,120.0
101119,NL,2024-11-25,120.0
101119,NL,2024-12-02,72.0
101119,NL,2024-12-09,48.0
101119,NL,2024-12-16,240.0
101119,NL,2024-12-23,0.0
101119,NL,2024-12-30,145.0
101119,NL,2025-01-06,121.0
101119,NL,2025-01-13,120.0
101119,NL,2025-01-20,49.0
101119,NL,2025-01-27,97.0
101119,NL,2025-02-03,72.0
101119,NL,2025-02-10,144.0
101119,NL,2025-02-17,73.0
101119,NL,2025-02-24,96.0
101119,NL,2025-03-03,192.0
101119,NL,2025-03-10,72.0
101119,NL,2025-03-17,121.0
101119,NL,2025-03-24,1.0
101119,NL,2025-03-31,144.0
101119,NL,2025-04-07,99.0
101119,NL,2025-04-14,25.0
101119,NL,2025-04-21,385.0
101119,NL,2025-04-28,193.0
101119,NL,2025-05-05,48.0
101119,NL,2025-05-12,48.0
101119,NL,2025-05-19,48.0
101119,NL,2025-05-26,73.0
101119,NL,2025-06-02,0.0
101119,NS,2024-06-10,115.0
101119,NS,2024-06-17,116.0
101119,NS,2024-06-24,174.0
101119,NS,2024-07-01,151.0
101119,NS,2024-07-08,162.0
101119,NS,2024-07-15,157.0
101119,NS,2024-07-22,143.0
101119,NS,2024-07-29,155.0
101119,NS,2024-08-05,172.0
101119,NS,2024-08-12,135.0
101119,NS,2024-08-19,130.0
101119,NS,2024-08-26,151.0
101119,NS,2024-09-02,161.0
101119,NS,2024-09-09,144.0
101119,NS,2024-09-16,155.0
101119,NS,2024-09-23,138.0
101119,NS,2024-09-30,186.0
101119,NS,2024-10-07,191.0
101119,NS,2024-10-14,159.0
101119,NS,2024-10-21,198.0
101119,NS,2024-10-28,134.0
101119,NS,2024-11-04,155.0
101119,NS,2024-11-11,115.0
101119,NS,2024-11-18,146.0
101119,NS,2024-11-25,119.0
101119,NS,2024-12-02,109.0
101119,NS,2024-12-09,112.0
101119,NS,2024-12-16,126.0
101119,NS,2024-12-23,139.0
101119,NS,2024-12-30,187.0
101119,NS,2025-01-06,0.0
101119,NS,2025-01-13,151.0
101119,NS,2025-01-20,137.0
101119,NS,2025-01-27,147.0
101119,NS,2025-02-03,127.0
101119,NS,2025-02-10,156.0
101119,NS,2025-02-17,158.0
101119,NS,2025-02-24,165.0
101119,NS,2025-03-03,168.0
101119,NS,2025-03-10,132.0
101119,NS,2025-03-17,178.0
101119,NS,2025-03-24,165.0
101119,NS,2025-03-31,162.0
101119,NS,2025-04-07,160.0
101119,NS,2025-04-14,145.0
101119,NS,2025-04-21,115.0
101119,NS,2025-04-28,151.0
101119,NS,2025-05-05,150.0
101119,NS,2025-05-12,173.0
101119,NS,2025-05-19,151.0
101119,NS,2025-05-26,150.0
101119,NS,2025-06-02,147.0
101119,ON,2024-06-10,896.0
101119,ON,2024-06-17,716.0
101119,ON,2024-06-24,0.0
101119,ON,2024-07-01,521.0
101119,ON,2024-07-08,776.0
101119,ON,2024-07-15,905.0
101119,ON,2024-07-22,712.0
101119,ON,2024-07-29,0.0
101119,ON,2024-08-05,552.0
101119,ON,2024-08-12,734.0
101119,ON,2024-08-19,693.0
101119,ON,2024-08-26,801.0
101119,ON,2024-09-02,662.0
101119,ON,2024-09-09,722.0
101119,ON,2024-09-16,746.0
101119,ON,2024-09-23,714.0
101119,ON,2024-09-30,761.0
101119,ON,2024-10-07,748.0
101119,ON,2024-10-14,459.0
101119,ON,2024-10-21,0.0
101119,ON,2024-10-28,906.0
101119,ON,2024-11-04,834.0
101119,ON,2024-11-11,787.0
101119,ON,2024-11-18,676.0
101119,ON,2024-11-25,752.0
101119,ON,2024-12-02,770.0
101119,ON,2024-12-09,863.0
101119,ON,2024-12-16,846.0
101119,ON,2024-12-23,725.0
101119,ON,2024-12-30,0.0
101119,ON,2025-01-06,660.0
101119,ON,2025-01-13,976.0
101119,ON,2025-01-20,798.0
101119,ON,2025-01-27,622.0
101119,ON,2025-02-03,967.0
101119,ON,2025-02-10,0.0
101119,ON,2025-02-17,532.0
101119,ON,2025-02-24,799.0
101119,ON,2025-03-03,853.0
101119,ON,2025-03-10,560.0
101119,ON,2025-03-17,531.0
101119,ON,2025-03-24,448.0
101119,ON,2025-03-31,761.0
101119,ON,2025-04-07,597.0
101119,ON,2025-04-14,656.0
101119,ON,2025-04-21,559.0
101119,ON,2025-04-28,662.0
101119,ON,2025-05-05,747.0
101119,ON,2025-05-12,711.0
101119,ON,2025-05-19,347.0
101119,ON,2025-05-26,560.0
101119,ON,2025-06-02,365.0
101119,PE,2024-06-10,18.0
101119,PE,2024-06-17,103.0
101119,PE,2024-06-24,58.0
101119,PE,2024-07-01,34.0
101119,PE,2024-07-08,15.0
101119,PE,2024-07-15,20.0
101119,PE,2024-07-22,62.0
101119,PE,2024-07-29,121.0
101119,PE,2024-08-05,68.0
101119,PE,2024-08-12,52.0
101119,PE,2024-08-19,53.0
101119,PE,2024-08-26,56.0
101119,PE,2024-09-02,47.0
101119,PE,2024-09-09,46.0
101119,PE,2024-09-16,69.0
101119,PE,2024-09-23,54.0
101119,PE,2024-09-30,40.0
101119,PE,2024-10-07,50.0
101119,PE,2024-10-14,67.0
101119,PE,2024-10-21,44.0
101119,PE,2024-10-28,56.0
101119,PE,2024-11-04,46.0
101119,PE,2024-11-11,41.0
101119,PE,2024-11-18,31.0
101119,PE,2024-11-25,35.0
101119,PE,2024-12-02,21.0
101119,PE,2024-12-09,33.0
101119,PE,2024-12-16,44.0
