part,prov,first_ship,last_ship,partprov
101109,AB,2023-08-07,2025-06-16,101109AB
101109,MB,2023-07-31,2025-06-16,101109MB
101109,NB,2023-12-18,2025-03-24,101109NB
101109,NL,2023-07-31,2025-06-02,101109NL
101109,NT,2023-12-04,2024-12-16,101109NT
101109,NU,2023-08-21,2025-05-05,101109NU
101109,QC,2023-08-07,2023-11-06,101109QC
101109,SK,2023-07-31,2025-05-05,101109SK
101119,MB,2023-07-31,2025-06-16,101119MB
101119,NB,2023-12-18,2025-05-05,101119NB
101119,NL,2023-07-31,2025-06-02,101119NL
101119,NS,2023-08-14,2025-06-16,101119NS
101119,NU,2024-03-25,2025-05-05,101119NU
101119,ON,2023-07-31,2025-06-16,101119ON
101119,PE,2023-07-31,2025-04-07,101119PE
101119,SK,2023-07-31,2025-04-14,101119SK
101137,MB,2023-07-31,2024-02-12,101137MB
101137,NL,2023-09-18,2023-09-25,101137NL
101137,SK,2023-07-31,2023-07-31,101137SK
101155,MB,2023-07-31,2025-06-16,101155MB
101155,NB,2023-11-06,2025-05-05,101155NB
101155,NL,2023-07-31,2025-06-16,101155NL
101155,NU,2023-08-21,2025-05-05,101155NU
101155,PE,2023-08-14,2025-04-07,101155PE
101155,QC,2023-08-07,2023-11-06,101155QC
101155,SK,2023-07-31,2025-01-06,101155SK
101168,AB,2023-08-07,2024-04-01,101168AB
101168,MB,2023-07-31,2025-06-16,101168MB
101168,NB,2023-11-20,2025-06-02,101168NB
101168,NL,2023-07-31,2025-06-16,101168NL
101168,NT,2023-11-06,2024-08-26,101168NT
101168,NU,2023-08-21,2025-05-05,101168NU
101168,ON,2023-07-31,2025-06-09,101168ON
101168,QC,2023-08-28,2025-06-02,101168QC
101168,SK,2023-07-31,2025-04-07,101168SK
101170,MB,2023-07-31,2023-07-31,101170MB
101170,NB,2023-12-18,2023-12-18,101170NB
101170,QC,2023-08-07,2025-06-16,101170QC
101170,SK,2023-08-21,2023-08-21,101170SK
101272,MB,2023-08-14,2024-03-25,101272MB
101272,NB,2023-11-20,2023-11-20,101272NB
101272,NL,2023-07-31,2023-10-16,101272NL
101272,NU,2023-08-21,2024-01-15,101272NU
101272,ON,2023-09-18,2025-04-21,101272ON
101272,PE,2023-07-31,2023-10-09,101272PE
101272,SK,2023-09-18,2023-10-23,101272SK
101272,YT,2024-03-25,2024-10-14,101272YT
101273,MB,2023-07-31,2025-06-16,101273MB
101273,NB,2024-12-30,2024-12-30,101273NB
101273,NL,2023-07-31,2025-06-16,101273NL
101273,NT,2023-10-23,2023-11-20,101273NT
101273,NU,2023-08-21,2025-05-05,101273NU
101273,ON,2023-07-31,2025-04-21,101273ON
101273,PE,2023-10-09,2023-12-04,101273PE
101273,SK,2023-07-31,2025-02-10,101273SK
101273,YT,2024-03-25,2024-10-14,101273YT
101274,AB,2023-07-31,2023-09-18,101274AB
101274,MB,2023-07-31,2025-03-17,101274MB
