part,prov,short_status,long_status,n_depletions,n_shipments,depletions_baseline,shipments_baseline,calc_baseline,log,partprov
101109,AB,Active,Active - mature - permanent,52,98,133,168,133,,101109AB
101109,MB,Active,Active - mature - permanent,0,99,na,66,66,,101109MB
101109,NL,Active,Active - mature - permanent,52,99,130,54,54,,101109NL
101109,SK,X,X - historical,0,99,na,9,na,,101109SK
101119,MB,Active,Active - mature - permanent,0,99,na,41,41,,101119MB
101119,NL,Active,Active - mature - exiting,52,99,60,56,56,,101119NL
101119,NS,Active,Active - mature - exiting,52,97,151,203,151,,101119NS
101119,ON,Active,Active - mature - exiting,52,99,510,512,510,,101119ON
101119,PE,Active,Active - mature - exiting,52,99,22,3,3,,101119PE
101119,SK,X,X - historical,0,99,na,3,na,,101119SK
101137,MB,X,X - historical,0,99,na,0,na,,101137MB
101155,MB,Active,Active - mature - permanent,0,99,na,58,58,,101155MB
101155,NL,Active,Active - mature - permanent,52,99,100,172,172,,101155NL
101155,PE,Active,Active - mature - permanent,52,97,27,3,3,,101155PE
101155,SK,X,X - historical,0,99,na,0,na,,101155SK
101168,AB,X,X - historical,52,98,0,0,na,,101168AB
101168,MB,Active,Active - mature - permanent,0,99,na,57,57,,101168MB
101168,NB,Active,Active - mature - exiting,52,83,56,50,30.0,,101168NB
101168,NL,Active,Active - mature - exiting,52,99,98,128,128,,101168NL
101168,ON,Active,Active - mature - exiting,49,99,659,511,659,,101168ON
101168,QC,Active,Active - mature - exiting,52,95,92,39,92,,101168QC
101168,SK,X,X - historical,0,99,na,0,na,,101168SK
101170,QC,Active,Active - mature - exiting,52,98,518,524,518,,101170QC
101272,MB,X,X - historical,0,97,na,0,na,,101272MB
101272,ON,X,X - historical,0,92,na,19,na,,101272ON
101273,MB,Active,Active - mature - permanent,0,99,na,29,29,,101273MB
101273,NL,Active,Active - mature - exiting,0,99,na,373,373,,101273NL
101273,ON,Active,Active - mature - permanent,0,99,na,20,na,[ERROR]: Unable to fc; check baseline.,101273ON
101273,SK,X,X - historical,0,99,na,0,na,,101273SK
101274,MB,X,X - historical,0,99,na,1,na,,101274MB
101274,NL,X,X - historical,52,99,0,0,na,,101274NL
101274,NS,X,X - historical,52,99,11,0,na,,101274NS
101274,ON,X,X - historical,52,99,0,54,na,,101274ON
101274,SK,X,X - historical,0,99,na,0,na,,101274SK
101275,MB,X,X - historical,0,97,na,0,na,,101275MB
101275,ON,X,X - historical,0,95,na,14,na,,101275ON
101275,QC,X,X - historical,0,87,na,0,na,,101275QC
101276,MB,Active,Active - mature - permanent,0,99,na,41,41,,101276MB
101276,NL,Active,Active - mature - exiting,52,99,54,368,368,,101276NL
101276,ON,Active,Active - mature - permanent,52,99,33,31,33,,101276ON
101276,SK,X,X - historical,0,99,na,0,na,,101276SK
101277,MB,X,X - historical,0,99,na,1,na,,101277MB
101277,NL,X,X - historical,52,99,0,0,na,,101277NL
101277,NS,X,X - historical,52,99,10,0,na,,101277NS
101277,ON,X,X - historical,50,98,0,24,na,,101277ON
101277,SK,X,X - historical,0,99,na,0,na,,101277SK
101300,MB,X,X - historical,0,99,na,0,na,,101300MB
101300,QC,Active,Active - mature - exiting,52,96,561,544,561,,101300QC
101304,AB,Active,Active - mature - exiting,52,99,247,296,247,,101304AB
101304,MB,Active,Active - mature - permanent,0,99,na,35,35,,101304MB
101304,NB,Active,Active - mature - exiting,52,85,32,9,30.0,,101304NB
101304,NL,Active,Active - mature - exiting,52,99,41,43,43,,101304NL
101304,ON,Active,Active - mature - exiting,52,99,100,111,100,,101304ON
101304,PE,Active,Active - mature - exiting,52,93,12,2,2,,101304PE
101304,SK,X,X - historical,0,97,na,1,na,,101304SK
101309,QC,Active,Active - mature - exiting,52,98,457,364,457,,101309QC
101312,AB,Active,Active - mature - permanent,36,98,433,586,433,,101312AB
101312,BC,Active,Active - mature - permanent,24,99,465,450,465,,101312BC
101312,MB,Active,Active - mature - permanent,0,99,na,174,174,,101312MB
101312,ON,Active,Active - mature - permanent,52,99,452,502,452,,101312ON
101312,SK,X,X - historical,0,97,na,15,na,,101312SK
101313,AB,Active,Active - mature - permanent,37,99,343,914,343,,101313AB
101313,BC,Active,Active - mature - permanent,11,99,287,451,287,,101313BC
101313,MB,Active,Active - mature - permanent,0,99,na,260,260,,101313MB
101313,ON,Active,Active - mature - permanent,52,99,516,632,516,,101313ON
101313,SK,X,X - historical,0,99,na,25,na,,101313SK
101314,MB,X,X - historical,0,99,na,0,na,,101314MB
101314,ON,X,X - historical,52,99,0,0,na,,101314ON
101314,SK,X,X - historical,0,97,na,0,na,,101314SK
101335,AB,X,X - historical,52,82,0,0,na,,101335AB
101335,MB,X,X - historical,0,99,na,0,na,,101335MB
101335,NS,X,X - historical,52,81,0,0,na,,101335NS
101335,ON,X,X - historical,52,99,0,0,na,,101335ON
101335,SK,X,X - historical,0,99,na,0,na,,101335SK
101407,MB,X,X - historical,0,99,na,0,na,,101407MB
101407,NL,X,X - historical,52,99,0,0,na,,101407NL
101407,ON,X,X - historical,52,99,1,0,na,,101407ON
101407,SK,X,X - historical,0,99,na,0,na,,101407SK
101410,AB,Active,Active - mature - permanent,52,99,2,1617,2,,101410AB
101410,MB,Active,Active - mature - permanent,0,99,na,0,0,,101410MB
101410,NL,Active,Active - mature - exiting,52,97,1,360,360,,101410NL
101410,NS,Active,Active - NPD - permanent,52,13,0,32,0,,101410NS
101410,ON,Active,Active - mature - permanent,52,99,39,57,39,,101410ON
101410,PE,X,X - historical,51,95,0,0,na,,101410PE
101410,SK,Active,Active - mature - permanent,0,99,na,4,4,,101410SK
101411,AB,Active,Active - mature - permanent,52,99,1,1619,1,,101411AB
101411,MB,X,X - historical,0,99,na,0,na,,101411MB
