part,prov,sow,demand
101109,AB,2023-07-03,792.0
101109,AB,2023-07-10,0.0
101109,AB,2023-07-17,480.0
101109,AB,2023-07-24,0.0
101109,AB,2023-07-31,0.0
101109,AB,2023-08-07,480.0
101109,AB,2023-08-14,360.0
101109,AB,2023-08-21,0.0
101109,AB,2023-08-28,480.0
101109,AB,2023-09-04,0.0
101109,AB,2023-09-11,0.0
101109,AB,2023-09-18,360.0
101109,AB,2023-09-25,0.0
101109,AB,2023-10-02,0.0
101109,AB,2023-10-09,0.0
101109,AB,2023-10-16,0.0
101109,AB,2023-10-23,0.0
101109,AB,2023-10-30,960.0
101109,AB,2023-11-06,0.0
101109,AB,2023-11-13,840.0
101109,AB,2023-11-20,0.0
101109,AB,2023-11-27,0.0
101109,AB,2023-12-04,0.0
101109,AB,2023-12-11,0.0
101109,AB,2023-12-18,0.0
101109,AB,2023-12-25,0.0
101109,AB,2024-01-01,1776.0
101109,AB,2024-01-08,0.0
101109,AB,2024-01-15,3024.0
101109,AB,2024-01-22,0.0
101109,AB,2024-01-29,0.0
101109,AB,2024-02-05,0.0
101109,AB,2024-02-12,0.0
101109,AB,2024-02-19,0.0
101109,AB,2024-02-26,0.0
101109,AB,2024-03-04,0.0
101109,AB,2024-03-11,0.0
101109,AB,2024-03-18,0.0
101109,AB,2024-03-25,0.0
101109,AB,2024-04-01,0.0
101109,AB,2024-04-08,0.0
101109,AB,2024-04-15,0.0
101109,AB,2024-04-22,0.0
101109,AB,2024-04-29,0.0
101109,AB,2024-05-06,0.0
101109,AB,2024-05-13,0.0
101109,AB,2024-05-20,0.0
101109,AB,2024-05-27,0.0
101109,AB,2024-06-03,0.0
101109,AB,2024-06-10,600.0
101109,AB,2024-06-17,0.0
101109,AB,2024-06-24,600.0
101109,AB,2024-07-01,0.0
101109,AB,2024-07-08,600.0
101109,AB,2024-07-15,0.0
101109,AB,2024-07-22,0.0
101109,AB,2024-07-29,0.0
101109,AB,2024-08-05,0.0
101109,AB,2024-08-12,0.0
101109,AB,2024-08-19,600.0
101109,AB,2024-08-26,0.0
101109,AB,2024-09-02,0.0
101109,AB,2024-09-09,0.0
101109,AB,2024-09-16,240.0
101109,AB,2024-09-23,0.0
101109,AB,2024-09-30,0.0
101109,AB,2024-10-07,240.0
101109,AB,2024-10-14,240.0
101109,AB,2024-10-21,360.0
101109,AB,2024-10-28,0.0
101109,AB,2024-11-04,0.0
101109,AB,2024-11-11,0.0
101109,AB,2024-11-18,480.0
101109,AB,2024-11-25,0.0
101109,AB,2024-12-02,240.0
101109,AB,2024-12-09,360.0
101109,AB,2024-12-16,0.0
101109,AB,2024-12-23,240.0
101109,AB,2024-12-30,240.0
101109,AB,2025-01-06,0.0
101109,AB,2025-01-13,0.0
101109,AB,2025-01-20,240.0
101109,AB,2025-01-27,240.0
101109,AB,2025-02-03,360.0
101109,AB,2025-02-10,0.0
101109,AB,2025-02-17,0.0
101109,AB,2025-02-24,360.0
101109,AB,2025-03-03,0.0
101109,AB,2025-03-10,360.0
101109,AB,2025-03-17,0.0
101109,AB,2025-03-24,0.0
101109,AB,2025-03-31,0.0
101109,AB,2025-04-07,240.0
101109,AB,2025-04-14,0.0
101109,AB,2025-04-21,0.0
101109,AB,2025-04-28,0.0
101109,AB,2025-05-05,0.0
101109,AB,2025-05-12,0.0
101109,AB,2025-05-19,240.0
101109,AB,2025-05-26,0.0
101109,AB,2025-06-02,0.0
101109,AB,2025-06-09,360.0
101109,MB,2023-07-10,312.0
101109,MB,2023-07-17,120.0
101109,MB,2023-07-24,240.0
101109,MB,2023-07-31,192.0
